tick,event,detail
12,catch,Drone menangkap penjahat
20,catch,Drone menangkap penjahat
257,catch,Drone menangkap penjahat
269,catch,Drone menangkap penjahat
274,catch,Drone menangkap penjahat
284,catch,Drone menangkap penjahat
