tick,event,detail
31,catch,Drone menangkap penjahat
47,catch,Drone menangkap penjahat
335,catch,Drone menangkap penjahat
444,catch,Drone menangkap penjahat
446,catch,Drone menangkap penjahat
608,catch,Drone menangkap penjahat
773,catch,Drone menangkap penjahat
774,catch,Drone menangkap penjahat
940,catch,Drone menangkap penjahat
957,catch,Drone menangkap penjahat
