tick,event,detail
23,catch,Drone menangkap penjahat
56,catch,Drone menangkap penjahat
161,catch,Drone menangkap penjahat
527,catch,Drone menangkap penjahat
532,catch,Drone menangkap penjahat
712,catch,Drone menangkap penjahat
