tick,event,detail
31,catch,Drone menangkap penjahat
46,catch,Drone menangkap penjahat
1670,catch,Drone menangkap penjahat
1821,catch,Drone menangkap penjahat
1848,catch,Drone menangkap penjahat
2159,catch,Drone menangkap penjahat
