tick,event,detail
35,catch,Drone menangkap penjahat
68,catch,Drone menangkap penjahat
864,catch,Drone menangkap penjahat
1059,catch,Drone menangkap penjahat
1085,catch,Drone menangkap penjahat
1302,catch,Drone menangkap penjahat
1445,catch,Drone menangkap penjahat
1456,catch,Drone menangkap penjahat
1609,catch,Drone menangkap penjahat
